"idGrupo";"uriGrupo";"nomeGrupo";"membro_idlegislatura";"membro_ordem_entrada";"membro_datainicio";"membro_datafim";"membro_nome";"membro_tipo";"membro_uri";"membro_cargo"
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"3";"2023-06-20T00:00:00";"";"CARLOS GOMES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178962";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"2";"2023-06-20T00:00:00";"";"AMOM MANDEL";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220715";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"12";"2023-06-20T00:00:00";"";"GERALDO MENDES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220702";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"17";"2023-06-20T00:00:00";"";"JONAS DONIZETTE";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/160548";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"21";"2023-06-20T00:00:00";"";"LUIS CARLOS GOMES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/222429";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"24";"2023-06-20T00:00:00";"";"MARCOS TAVARES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220604";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"20";"2023-06-20T00:00:00";"";"LUCIO MOSQUINI";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178954";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"7";"2023-06-20T00:00:00";"";"CORONEL MEIRA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220666";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"16";"2023-06-20T00:00:00";"";"JADYEL ALENCAR";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220697";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"30";"2023-06-20T00:00:00";"";"SARGENTO GONÇALVES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220621";""
