"uriOrgao";"siglaOrgao";"nomeOrgao";"nomePublicacaoOrgao";"uriDeputado";"nomeDeputado";"siglaPartido";"siglaUF";"cargo";"dataInicio";"dataFim"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"David Soares";"UNIÃO";"SP";"Titular";"2023-10-10";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220659";"Dayany Bittencourt";"UNIÃO";"CE";"Suplente";"2024-06-20";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220689";"Detinha";"PL";"MA";"Suplente";"2023-03-15";"2023-07-06"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220689";"Detinha";"PL";"MA";"Suplente";"2023-09-20";"2023-10-10"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220689";"Detinha";"PL";"MA";"Suplente";"2023-10-10";"2023-11-21"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220689";"Detinha";"PL";"MA";"Suplente";"2023-11-21";"2023-12-01"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220689";"Detinha";"PL";"MA";"Titular";"2024-04-10";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/204481";"Dr. Jaziel";"PL";"CE";"Titular";"2023-09-06";"2023-09-19"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/204481";"Dr. Jaziel";"PL";"CE";"Titular";"2023-09-19";"2023-12-19"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/204481";"Dr. Jaziel";"PL";"CE";"Titular";"2023-12-21";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/204351";"Dr. Luiz Ovando";"PP";"MS";"Suplente";"2023-03-15";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/228616";"Dr. Remy Soares";"";"";"Titular";"2024-05-07";"2024-09-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/204412";"Dr. Zacharias Calil";"UNIÃO";"GO";"Suplente";"2023-03-15";"2023-09-19"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/204412";"Dr. Zacharias Calil";"UNIÃO";"GO";"Suplente";"2023-09-26";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/204412";"Dr. Zacharias Calil";"UNIÃO";"GO";"Suplente";"2024-03-06";"2024-03-12"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/204364";"Eli Borges";"PL";"TO";"Suplente";"2024-04-17";"2024-06-19"
