"uri";"sigla";"apelido";"nome";"nomePublicacao";"codTipoOrgao";"tipoOrgao";"dataInicio";"dataInstalacao";"dataFim";"dataFimOriginal";"codSituacao";"descricaoSituacao";"casa";"sala";"urlWebsite"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102859";"MPV122324";"MPV122324";"Comissão Mista da MPV 1223/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102860";"MPV122524";"MPV122524";"Comissão Mista da MPV 1225/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102864";"MPV122424";"MPV122424";"Comissão Mista da MPV 1224/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102865";"MPV122624";"MPV122624";"Comissão Mista da MPV 1226/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102866";"MPV122724";"MPV122724";"Comissão Mista da MPV 1227/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102867";"MPV122824";"MPV122824";"Comissão Mista da MPV 1228/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102868";"MPV122924";"MPV122924";"Comissão Mista da MPV 1229/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102869";"MPV123024";"MPV123024";"Comissão Mista da MPV 1230/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102870";"MPV123124";"MPV123124";"Comissão Mista da MPV 1231/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102871";"MPV123324";"MPV123324";"Comissão Mista da MPV 1233/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102872";"MPV123524";"MPV123524";"Comissão Mista da MPV 1235/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102873";"MPV123724";"MPV123724";"Comissão Mista da MPV 1237/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102874";"MPV123824";"MPV123824";"Comissão Mista da MPV 1238/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102875";"MPV123224";"MPV123224";"Comissão Mista da MPV 1232/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102876";"MPV123424";"MPV123424";"Comissão Mista da MPV 1234/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102877";"MPV123624";"MPV123624";"Comissão Mista da MPV 1236/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102878";"MPV123924";"MPV123924";"Comissão Mista da MPV 1239/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102881";"MPV124024";"MPV124024";"Comissão Mista da MPV 1240/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102882";"MPV124124";"MPV124124";"Comissão Mista da MPV 1241/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102883";"MPV124224";"MPV124224";"Comissão Mista da MPV 1242/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102884";"MPV124324";"MPV124324";"Comissão Mista da MPV 1243/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102885";"MPV124424";"MPV124424";"Comissão Mista da MPV 1244/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102886";"MPV124524";"MPV124524";"Comissão Mista da MPV 1245/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102887";"MPV124624";"MPV124624";"Comissão Mista da MPV 1246/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102888";"MPV124724";"MPV124724";"Comissão Mista da MPV 1247/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102889";"MPV124824";"MPV124824";"Comissão Mista da MPV 1248/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102890";"MPV124924";"MPV124924";"Comissão Mista da MPV 1249/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102891";"MPV125024";"MPV125024";"Comissão Mista da MPV 1250/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102892";"MPV125224";"MPV125224";"Comissão Mista da MPV 1252/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102895";"MPV125124";"MPV125124";"Comissão Mista da MPV 1251/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102896";"MPV125324";"MPV125324";"Comissão Mista da MPV 1253/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102899";"MPV125424";"MPV125424";"Comissão Mista da MPV 1254/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102900";"MPV125624";"MPV125624";"Comissão Mista da MPV 1256/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102901";"MPV125524";"MPV125524";"Comissão Mista da MPV 1255/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102903";"MPV125724";"MPV125724";"Comissão Mista da MPV 1257/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102904";"MPV125824";"MPV125824";"Comissão Mista da MPV 1258/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102905";"MPV125924";"MPV125924";"Comissão Mista da MPV 1259/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102906";"MPV126024";"MPV126024";"Comissão Mista da MPV 1260/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102907";"MPV126124";"MPV126124";"Comissão Mista da MPV 1261/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102908";"MPV126224";"MPV126224";"Comissão Mista da MPV 1262/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102909";"MPV126324";"MPV126324";"Comissão Mista da MPV 1263/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102910";"MPV126424";"MPV126424";"Comissão Mista da MPV 1264/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102911";"MPV126524";"MPV126524";"Comissão Mista da MPV 1265/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102912";"MPV126624";"MPV126624";"Comissão Mista da MPV 1266/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102913";"MPV126724";"MPV126724";"Comissão Mista da MPV 1267/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102914";"MPV126824";"MPV126824";"Comissão Mista da MPV 1268/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102917";"MPV126924";"MPV126924";"Comissão Mista da MPV 1269/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102918";"MPV127024";"MPV127024";"Comissão Mista da MPV 1270/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102919";"MPV127124";"MPV127124";"Comissão Mista da MPV 1271/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102920";"MPV127224";"MPV127224";"Comissão Mista da MPV 1272/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102922";"MPV127324";"MPV127324";"Comissão Mista da MPV 1273/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102923";"MPV127424";"MPV127424";"Comissão Mista da MPV 1274/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102924";"MPV127524";"MPV127524";"Comissão Mista da MPV 1275/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102931";"MPV127624";"MPV127624";"Comissão Mista da MPV 1276/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102932";"MPV127724";"MPV127724";"Comissão Mista da MPV 1277/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102933";"MPV127924";"MPV127924";"Comissão Mista da MPV 1279/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102935";"MPV127824";"MPV127824";"Comissão Mista da MPV 1278/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102936";"MPV128024";"MPV128024";"Comissão Mista da MPV 1280/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102937";"MPV128124";"MPV128124";"Comissão Mista da MPV 1281/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102938";"MPV128224";"MPV128224";"Comissão Mista da MPV 1282/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102939";"MPV128324";"MPV128324";"Comissão Mista da MPV 1283/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102940";"MPV128424";"MPV128424";"Comissão Mista da MPV 1284/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102941";"MPV128524";"MPV128524";"Comissão Mista da MPV 1285/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102942";"MPV128624";"MPV128624";"Comissão Mista da MPV 1286/2024";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102943";"MPV128725";"MPV128725";"Comissão Mista da MPV 1287/2025";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/102944";"MPV128825";"MPV128825";"Comissão Mista da MPV 1288/2025";"";"9";"Comissão Medida Provisória";"";"";"";"";"";"";"Congresso Nacional";"";""
